,minute_of_hour,hour_of_week,day_of_week,week_of_month,month,units_consumed
0,0,0,5,1,1,1.7000000000000002
1,5,0,5,1,1,1.706665432167351
2,10,0,5,1,1,1.7133234589846789
3,15,0,5,1,1,1.7199666833293659
4,20,0,5,1,1,1.726587724524463
5,25,0,5,1,1,1.7331792265386832
6,30,0,5,1,1,1.7397338661590125
7,35,0,5,1,1,1.7462443611268599
8,40,0,5,1,1,1.7527034782287072
9,45,0,5,1,1,1.759104041332268
10,50,0,5,1,1,1.7654389393592307
11,55,0,5,1,1,1.7717011341857236
12,0,1,5,1,1,1.7778836684617303
13,5,1,5,1,1,1.7839796733407614
14,10,1,5,1,1,1.7899823761112001
15,15,1,5,1,1,1.7958851077208409
16,20,1,5,1,1,1.8016813101862603
17,25,1,5,1,1,1.8073645438787924
18,30,1,5,1,1,1.8129284946790072
19,35,1,5,1,1,1.8183669809917506
20,40,1,5,1,1,1.8236739606139476
21,45,1,5,1,1,1.8288435374475385
22,50,1,5,1,1,1.8338699680500934
23,55,1,5,1,1,1.8387476680158243
24,0,2,5,1,1,1.8434712181799047
25,5,2,5,1,1,1.8480353706392076
26,10,2,5,1,1,1.8524350545827681
27,15,2,5,1,1,1.8566653819254968
28,20,2,5,1,1,1.8607216527388823
29,25,2,5,1,1,1.8645993604726507
30,30,2,5,1,1,1.8682941969615796
31,35,2,5,1,1,1.8718020572119052
32,40,2,5,1,1,1.8751190439620053
33,45,2,5,1,1,1.8782414720122873
34,50,2,5,1,1,1.8811658723194764
35,55,2,5,1,1,1.8838889958507512
36,0,3,5,1,1,1.8864078171934455
37,5,3,5,1,1,1.8887195379163069
38,10,3,5,1,1,1.890821589678577
39,15,3,5,1,1,1.8927116370834387
40,20,3,5,1,1,1.8943875802726629
41,25,3,5,1,1,1.8958475572595654
42,30,3,5,1,1,1.8970899459976922
43,35,3,5,1,1,1.8981133661829253
44,40,3,5,1,1,1.8989166807870115
45,45,3,5,1,1,1.8994989973208112
46,50,3,5,1,1,1.89985966882586
47,55,3,5,1,1,1.8999982945931464
48,0,4,5,1,1,1.8999147206083011
49,5,4,5,1,1,1.89960903972271
50,10,4,5,1,1,1.8990815915503532
51,15,4,5,1,1,1.8983329620904938
52,20,4,5,1,1,1.8973639830766262
53,25,4,5,1,1,1.8961757310524137
54,30,4,5,1,1,1.8947695261756392
