second_of_minute,minute_of_hour,hour_of_day,weekday,units_consumed,within_next_30_minutes
56,44,11,5,0,0
56,44,11,5,0,0
56,44,11,5,0,0
56,44,11,5,0,0
56,44,11,5,0,0
5,45,11,5,4.056960608762719e-11,0
5,45,11,5,4.51540599103527e-11,0
5,45,11,5,4.630946714374284e-11,0
5,45,11,5,5.6385542275749734e-11,0
5,45,11,5,6.912457555402559e-11,0
6,45,11,5,8.489190760208402e-11,0
6,45,11,5,8.998574518289016e-11,0
6,45,11,5,9.126953099776808e-11,0
6,45,11,5,1.024651700333313e-10,0
6,45,11,5,1.166196514536378e-10,0
6,45,11,5,1.261627885824702e-10,0
6,45,11,5,1.312566261632763e-10,0
6,45,11,5,1.3254041197815423e-10,0
6,45,11,5,1.4373605101371746e-10,0
6,45,11,5,1.5789053243402395e-10,0
6,45,11,5,1.6743366956285632e-10,0
6,45,11,5,1.726720986003664e-10,0
6,45,11,5,1.7395588441524432e-10,0
6,45,11,5,1.8515152345080755e-10,0
6,45,11,5,1.9930600487111404e-10,0
6,45,11,5,2.0884914199994638e-10,0
6,45,11,5,2.1200032401697147e-10,0
6,45,11,5,2.132841098318494e-10,0
6,45,11,5,2.2447974886741263e-10,0
6,45,11,5,2.386342302877191e-10,0
6,45,11,5,2.481773674165515e-10,0
6,45,11,5,2.500199693139951e-10,0
6,45,11,5,2.51303755128873e-10,0
6,45,11,5,2.624993941644363e-10,0
6,45,11,5,2.7665387558474273e-10,0
6,45,11,5,2.8619701271357507e-10,0
6,45,11,5,2.8803961461101874e-10,0
6,45,11,5,2.892508768830595e-10,0
6,45,11,5,3.0044651591862276e-10,0
6,45,11,5,3.146009973389292e-10,0
6,45,11,5,3.241441344677616e-10,0
6,45,11,5,3.259867363652052e-10,0
6,45,11,5,3.2895459625295196e-10,0
6,45,11,5,3.401502352885152e-10,0
6,45,11,5,3.543047167088217e-10,0
6,45,11,5,3.63847853837654e-10,0
6,45,11,5,3.6569045573509764e-10,0
6,45,11,5,3.7339268503895334e-10,0
6,45,11,5,3.845883240745165e-10,0
6,45,11,5,3.9874280549482306e-10,0
7,45,11,5,4.4911453688602096e-10,0
7,45,11,5,4.51141398973209e-10,0
7,45,11,5,4.5961385120745024e-10,0
7,45,11,5,4.709389189720559e-10,0
7,45,11,5,4.865088485343931e-10,0
7,45,11,5,4.970062993761086e-10,0
7,45,11,5,4.990331614632967e-10,0
7,45,11,5,5.075056136975379e-10,0
7,45,11,5,5.189876998362978e-10,0
7,45,11,5,5.34557629398635e-10,0
7,45,11,5,5.450550802403506e-10,0
7,45,11,5,5.470819423275386e-10,0
7,45,11,5,5.555543945617798e-10,0
7,45,11,5,5.682125092442215e-10,0
7,45,11,5,5.837824388065586e-10,0
7,45,11,5,5.942798896482742e-10,0
7,45,11,5,5.963067517354622e-10,0
7,45,11,5,6.047792039697034e-10,0
7,45,11,5,6.17437318652145e-10,0
7,45,11,5,6.347253622499398e-10,0
7,45,11,5,6.452228130916553e-10,0
7,45,11,5,6.472496751788434e-10,0
7,45,11,5,6.557221274130846e-10,0
7,45,11,5,6.683802420955262e-10,0
7,45,11,5,6.793988969777531e-10,0
7,45,11,5,6.898963478194686e-10,0
7,45,11,5,6.919232099066567e-10,0
7,45,11,5,7.003956621408979e-10,0
7,45,11,5,7.130537768233395e-10,0
7,45,11,5,7.193785175238575e-10,0
18,45,11,5,1.4592684992281245e-9,0
18,45,11,5,1.4633222234025008e-9,0
18,45,11,5,1.4802671278709832e-9,0
18,45,11,5,1.5055833572358665e-9,0
18,45,11,5,1.5182328386369024e-9,0
18,45,11,5,1.5277886246200606e-9,0
18,45,11,5,1.5318423487944369e-9,0
18,45,11,5,1.5487872532629191e-9,0
18,45,11,5,1.5741034826278024e-9,0
18,45,11,5,1.5867529640288383e-9,0
18,45,11,5,1.5913095472143746e-9,0
18,45,11,5,1.5953632713887505e-9,0
18,45,11,5,1.6123081758572327e-9,0
18,45,11,5,1.637624405222116e-9,0
18,45,11,5,1.6502738866231523e-9,0
18,45,11,5,1.6548304698086882e-9,0
18,45,11,5,1.6588272881586886e-9,0
18,45,11,5,1.675772192627171e-9,0
18,45,11,5,1.701088421992054e-9,0
18,45,11,5,1.7137379033930902e-9,0
19,45,11,5,1.796398781423109e-9,0
19,45,11,5,1.8061802316923957e-9,0
19,45,11,5,1.8238953590912636e-9,0
19,45,11,5,1.8503623261545503e-9,0
19,45,11,5,1.8635867839829064e-9,0
19,45,11,5,1.868350484585967e-9,0
19,45,11,5,1.8915754051037718e-9,0
19,45,11,5,1.9092905325026393e-9,0
19,45,11,5,1.935757499565926e-9,0
19,45,11,5,1.9489819573942823e-9,0
19,45,11,5,1.9537456579973427e-9,0
19,45,11,5,1.9769705785151473e-9,0
19,45,11,5,1.9944352196941477e-9,0
19,45,11,5,2.0209021867574346e-9,0
19,45,11,5,2.0341266445857903e-9,0
19,45,11,5,2.038890345188851e-9,0
19,45,11,5,2.0621152657066557e-9,0
19,45,11,5,2.077508689932382e-9,0
19,45,11,5,2.103975656995669e-9,0
19,45,11,5,2.1172001148240246e-9,0
19,45,11,5,2.121963815427085e-9,0
19,45,11,5,2.14518873594489e-9,0
19,45,11,5,2.1589527039644206e-9,0
19,45,11,5,2.1854196710277075e-9,0
19,45,11,5,2.1986441288560636e-9,0
19,45,11,5,2.2034078294591235e-9,0
19,45,11,5,2.226632749976929e-9,0
19,45,11,5,2.2403967179964595e-9,0
19,45,11,5,2.2660909204052403e-9,0
19,45,11,5,2.279315378233596e-9,0
19,45,11,5,2.2840790788366564e-9,0
19,45,11,5,2.3073039993544613e-9,0
19,45,11,5,2.321067967373992e-9,0
19,45,11,5,2.3311693320779352e-9,0
19,45,11,5,2.344393789906291e-9,0
20,45,11,5,2.45129477270541e-9,0
20,45,11,5,2.475529472376163e-9,0
20,45,11,5,2.489891873787847e-9,0
20,45,11,5,2.494160043861307e-9,0
20,45,11,5,2.5079594781169827e-9,0
20,45,11,5,2.5129302961375674e-9,0
20,45,11,5,2.5371649958083205e-9,0
20,45,11,5,2.551527397220005e-9,0
20,45,11,5,2.5557955672934643e-9,0
20,45,11,5,2.5687850183594208e-9,0
20,45,11,5,2.5737558363800054e-9,0
20,45,11,5,2.597990536050758e-9,0
20,45,11,5,2.6123529374624426e-9,0
20,45,11,5,2.6166211075359024e-9,0
20,45,11,5,2.6337467801911454e-9,0
20,45,11,5,2.6387175982117296e-9,0
20,45,11,5,2.6629522978824827e-9,0
20,45,11,5,2.677314699294167e-9,0
20,45,11,5,2.6815828693676265e-9,0
20,45,11,5,2.705574675907778e-9,0
31,45,11,5,3.952965515509995e-9,0
31,45,11,5,3.988307785863177e-9,0
31,45,11,5,4.00925295458855e-9,0
31,45,11,5,4.0154773692790115e-9,0
31,45,11,5,4.050465420483398e-9,0
33,45,11,5,4.2957540957892795e-9,0
33,45,11,5,4.3331159244483565e-9,0
33,45,11,5,4.355257959958037e-9,0
33,45,11,5,4.361838055487954e-9,0
33,45,11,5,4.39882542390402e-9,0
33,45,11,5,4.4232111487555014e-9,0
33,45,11,5,4.460572977414579e-9,0
33,45,11,5,4.482715012924259e-9,0
33,45,11,5,4.489295108454176e-9,0
33,45,11,5,4.526282476870242e-9,0
33,45,11,5,4.550668201721723e-9,0
33,45,11,5,4.587934786224532e-9,0
33,45,11,5,4.610076821734211e-9,0
33,45,11,5,4.616656917264129e-9,0
33,45,11,5,4.653644285680195e-9,0
34,45,11,5,4.804463254059559e-9,0
34,45,11,5,4.8199199767379594e-9,0
34,45,11,5,4.842660445639793e-9,0
34,45,11,5,4.849418381589437e-9,0
34,45,11,5,4.887405408611343e-9,0
34,45,11,5,4.912450207107459e-9,0
34,45,11,5,4.918708790405849e-9,0
34,45,11,5,4.941449259307682e-9,0
34,45,11,5,4.948207195257327e-9,0
34,45,11,5,4.986194222279233e-9,0
34,45,11,5,5.0112390207753486e-9,0
34,45,11,5,5.017497604073739e-9,0
34,45,11,5,5.0413529014913225e-9,0
34,45,11,5,5.048110837440967e-9,0
34,45,11,5,5.086097864462873e-9,0
34,45,11,5,5.111142662958989e-9,0
34,45,11,5,5.117401246257379e-9,0
34,45,11,5,5.143634759995235e-9,0
34,45,11,5,5.1503926959448795e-9,0
34,45,11,5,5.188379722966785e-9,0
34,45,11,5,5.2134245214629014e-9,0
34,45,11,5,5.219683104761292e-9,0
34,45,11,5,5.247187120440891e-9,0
34,45,11,5,5.253945056390535e-9,0
34,45,11,5,5.2919320834124415e-9,0
34,45,11,5,5.316976881908557e-9,0
34,45,11,5,5.323235465206948e-9,0
34,45,11,5,5.350739480886547e-9,0
34,45,11,5,5.358629625050062e-9,0
34,45,11,5,5.396616652071968e-9,0
34,45,11,5,5.421661450568083e-9,0
34,45,11,5,5.427920033866473e-9,0
34,45,11,5,5.4554240495460725e-9,0
34,45,11,5,5.46365438530339e-9,0
34,45,11,5,5.501641412325297e-9,0
34,45,11,5,5.526686210821412e-9,0
34,45,11,5,5.5329447941198026e-9,0
34,45,11,5,5.560448809799402e-9,0
34,45,11,5,5.5677992576990955e-9,0
34,45,11,5,5.605786284721001e-9,0
35,45,11,5,5.779010848564936e-9,0
35,45,11,5,5.785434131423809e-9,0
35,45,11,5,5.813661936989715e-9,0
35,45,11,5,5.821205817728873e-9,0
35,45,11,5,5.858979766372798e-9,0
35,45,11,5,5.884683638513548e-9,0
35,45,11,5,5.891106921372422e-9,0
35,45,11,5,5.919334726938328e-9,0
35,45,11,5,5.926878607677486e-9,0
35,45,11,5,5.9709316207067815e-9,0
35,45,11,5,5.9966354928475325e-9,0
35,45,11,5,6.003058775706407e-9,0
35,45,11,5,6.031286581272311e-9,0
35,45,11,5,6.03883046201147e-9,0
35,45,11,5,6.0918494437342095e-9,0
46,45,11,5,7.843046336493557e-9,0
46,45,11,5,7.851281314517755e-9,0
46,45,11,5,7.887470808833018e-9,0
46,45,11,5,7.897142450806297e-9,0
46,45,11,5,7.96511550429699e-9,0
46,45,11,5,7.981660510000583e-9,0
46,45,11,5,7.989895488024781e-9,0
46,45,11,5,8.026084982340042e-9,0
46,45,11,5,8.035756624313323e-9,0
46,45,11,5,8.103729677804015e-9,0
46,45,11,5,8.112019849565962e-9,0
46,45,11,5,8.12025482759016e-9,0
46,45,11,5,8.156444321905422e-9,0
46,45,11,5,8.166115963878701e-9,0
46,45,11,5,8.234089017369395e-9,0
46,45,11,5,8.24237918913134e-9,0
46,45,11,5,8.250782208163507e-9,0
46,45,11,5,8.28697170247877e-9,0
46,45,11,5,8.296643344452051e-9,0
46,45,11,5,8.364616397942743e-9,0
47,45,11,5,8.540364701098783e-9,0
47,45,11,5,8.55081139983764e-9,0
47,45,11,5,8.58772468403921e-9,0
47,45,11,5,8.597589758851955e-9,0
47,45,11,5,8.666922273412462e-9,0
47,45,11,5,8.675378248609646e-9,0
47,45,11,5,8.687850054582059e-9,0
47,45,11,5,8.724763338783626e-9,0
47,45,11,5,8.734628413596372e-9,0
47,45,11,5,8.80396092815688e-9,0
47,45,11,5,8.812416903354064e-9,0
47,45,11,5,8.824888709326475e-9,0
47,45,11,5,8.860364830281512e-9,0
47,45,11,5,8.87022990509426e-9,0
47,45,11,5,8.939562419654766e-9,0
47,45,11,5,8.948018394851951e-9,0
47,45,11,5,8.960490200824363e-9,0
47,45,11,5,8.976281378670224e-9,0
47,45,11,5,8.98614645348297e-9,0
47,45,11,5,9.055478968043476e-9,0
47,45,11,5,9.06393494324066e-9,0
47,45,11,5,9.076406749213073e-9,0
47,45,11,5,9.083721482309667e-9,0
47,45,11,5,9.093586557122412e-9,0
47,45,11,5,9.162919071682919e-9,0
47,45,11,5,9.171375046880103e-9,0
47,45,11,5,9.183846852852516e-9,0
47,45,11,5,9.19116158594911e-9,0
47,45,11,5,9.200185626944989e-9,0
47,45,11,5,9.269518141505494e-9,0
47,45,11,5,9.27797411670268e-9,0
47,45,11,5,9.290445922675093e-9,0
47,45,11,5,9.297760655771686e-9,0
47,45,11,5,9.321403715257893e-9,0
47,45,11,5,9.3907362298184e-9,0
47,45,11,5,9.399192205015584e-9,0
47,45,11,5,9.411664010987997e-9,0
47,45,11,5,9.41897874408459e-9,0
47,45,11,5,9.486729386758662e-9,0
47,45,11,5,9.55606190131917e-9,0
48,45,11,5,9.752057442722557e-9,0
48,45,11,5,9.764773793910115e-9,0
48,45,11,5,9.772231953145857e-9,0
48,45,11,5,9.841311039793932e-9,0
48,45,11,5,9.917716721351453e-9,0
48,45,11,5,9.926338499983876e-9,0
48,45,11,5,9.939054851171436e-9,0
48,45,11,5,9.946513010407176e-9,0
48,45,11,5,1.0015592097055251e-8,0
48,45,11,5,1.0096677439536857e-8,0
48,45,11,5,1.0105299218169278e-8,0
48,45,11,5,1.0118015569356836e-8,0
48,45,11,5,1.012547372859258e-8,0
48,45,11,5,1.0194552815240653e-8,0
48,45,11,5,1.0274177829670024e-8,0
59,45,11,5,1.2457985126178356e-8,0
59,45,11,5,1.2473391474732512e-8,0
59,45,11,5,1.2482427321498892e-8,0
59,45,11,5,1.2566119291860983e-8,0
59,45,11,5,1.266258805934272e-8,0
59,45,11,5,1.2679145185523903e-8,0
59,45,11,5,1.2694551534078061e-8,0
59,45,11,5,1.2703587380844441e-8,0
59,45,11,5,1.2787279351206532e-8,0
59,45,11,5,1.288374811868827e-8,0
59,45,11,5,1.2910115306560892e-8,0
59,45,11,5,1.2925521655115048e-8,0
59,45,11,5,1.293455750188143e-8,0
59,45,11,5,1.301824947224352e-8,0
59,45,11,5,1.3114718239725256e-8,0
59,45,11,5,1.3141085427597881e-8,0
59,45,11,5,1.3156271377455686e-8,0
59,45,11,5,1.3165307224222066e-8,0
59,45,11,5,1.3248999194584157e-8,0
59,45,11,5,1.3345467962065893e-8,0
59,45,11,5,1.3371835149938517e-8,0
59,45,11,5,1.3404332165705976e-8,0
59,45,11,5,1.3413368012472357e-8,0
59,45,11,5,1.3497059982834448e-8,0
59,45,11,5,1.3593528750316185e-8,0
0,46,11,5,1.3836084762604502e-8,0
0,46,11,5,1.3907777883376239e-8,0
0,46,11,5,1.3916957156281769e-8,0
0,46,11,5,1.400197757061786e-8,0
0,46,11,5,1.4099977588377085e-8,0
0,46,11,5,1.4126763303041337e-8,0
0,46,11,5,1.4198456423813075e-8,0
0,46,11,5,1.4208727446660915e-8,0
0,46,11,5,1.4293747860997008e-8,0
0,46,11,5,1.4391747878756233e-8,0
0,46,11,5,1.4418533593420485e-8,0
0,46,11,5,1.4490226714192221e-8,0
0,46,11,5,1.4499408927612676e-8,0
0,46,11,5,1.4584429341948769e-8,0
0,46,11,5,1.4682429359707993e-8,0
0,46,11,5,1.4709215074372246e-8,0
0,46,11,5,1.4780908195143982e-8,0
0,46,11,5,1.4788242095998849e-8,0
0,46,11,5,1.4873262510334941e-8,0
0,46,11,5,1.4971262528094165e-8,0
0,46,11,5,1.499804824275842e-8,0
0,46,11,5,1.5069741363530155e-8,0
0,46,11,5,1.5077075264385023e-8,0
0,46,11,5,1.5156197395788744e-8,0
0,46,11,5,1.525419741354797e-8,0
0,46,11,5,1.5280983128212225e-8,0
0,46,11,5,1.535267624898396e-8,0
0,46,11,5,1.5360010149838828e-8,0
0,46,11,5,1.539131889964815e-8,0
0,46,11,5,1.5489318917407375e-8,0
0,46,11,5,1.5516104632071627e-8,0
0,46,11,5,1.5587797752843365e-8,0
0,46,11,5,1.5595131653698233e-8,0
0,46,11,5,1.5608441897164243e-8,0
0,46,11,5,1.5706441914923465e-8,0
0,46,11,5,1.573322762958772e-8,0
0,46,11,5,1.5804920750359455e-8,0
0,46,11,5,1.5812254651214323e-8,0
0,46,11,5,1.5825564894680333e-8,0
0,46,11,5,1.5913805890658155e-8,0
1,46,11,5,1.6189663349155567e-8,0
1,46,11,5,1.6262476674939364e-8,0
1,46,11,5,1.6269925167995087e-8,0
1,46,11,5,1.6283443384015254e-8,0
1,46,11,5,1.6374850832997033e-8,0
1,46,11,5,1.6402055074452913e-8,0
1,46,11,5,1.647486840023671e-8,0
1,46,11,5,1.6482316893292437e-8,0
1,46,11,5,1.64958351093126e-8,0
1,46,11,5,1.6599375283119058e-8,0
12,46,11,5,1.9440940901409745e-8,0
12,46,11,5,1.9526076482326183e-8,0
12,46,11,5,1.953478548959134e-8,0
12,46,11,5,1.9550591403707225e-8,0
12,46,11,5,1.9671653760773237e-8,0
12,46,11,5,1.972375514940215e-8,0
12,46,11,5,1.9808890730318587e-8,0
12,46,11,5,1.9817599737583744e-8,0
12,46,11,5,1.983340565169963e-8,0
12,46,11,5,1.995446800876564e-8,0
12,46,11,5,2.003649701301799e-8,0
12,46,11,5,2.012163259393443e-8,0
12,46,11,5,2.0130341601199583e-8,0
12,46,11,5,2.014614751531547e-8,0
12,46,11,5,2.026720987238148e-8,0
12,46,11,5,2.0349238876633833e-8,0
12,46,11,5,2.0445201986131834e-8,0
12,46,11,5,2.0453910993396988e-8,0
12,46,11,5,2.0469716907512873e-8,0
12,46,11,5,2.0590779264578885e-8,0
12,46,11,5,2.0672808268831235e-8,0
12,46,11,5,2.0733006206150352e-8,0
12,46,11,5,2.074171521341551e-8,0
12,46,11,5,2.0757521127531397e-8,0
12,46,11,5,2.0878583484597406e-8,0
12,46,11,5,2.096061248884976e-8,0
12,46,11,5,2.0994121881917918e-8,0
12,46,11,5,2.100283088918307e-8,0
12,46,11,5,2.1018636803298956e-8,0
12,46,11,5,2.113969916036497e-8,0
12,46,11,5,2.122172816461732e-8,0
12,46,11,5,2.1255237557685477e-8,0
12,46,11,5,2.1263695544434827e-8,0
12,46,11,5,2.127950145855071e-8,0
12,46,11,5,2.1400563815616724e-8,0
